Description,Rule set,Rule,,,,,,Rule set,Rule
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'saveDirectory2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'crunchifyFiles' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'fileNames' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'multipartFile' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'fileName' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'award' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'award' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'assitant' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'assitant' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'request' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'saveDirectory2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'crunchifyFiles' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'fileNames' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'multipartFile' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'fileName' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Parameter 'assitant' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'assitantWork' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'assitant' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'assitantWork' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid declaring a variable if it is unreferenced before a possible exit point.,Optimization,PrematureDeclaration,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'assitant' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'request' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'saveDirectory2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'crunchifyFiles' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'fileNames' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'multipartFile' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'fileName' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid declaring a variable if it is unreferenced before a possible exit point.,Optimization,PrematureDeclaration,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'fileimintro' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'imintro' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'request' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'imintroDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'saveDirectory2' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'crunchifyFiles' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'fileNames' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'multipartFile' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'fileName' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'account' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'request' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'loginDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'flag' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'session' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'account_session' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'account_session' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'scheduleplanDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'scheduleplanDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'scheduleplan' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'scheduleplanDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
"This class has too many methods, consider refactoring it.",Code Size,TooManyMethods,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'symDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'Teach_ResultDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'Teach_ResultDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'Teach_ResultDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid declaring a variable if it is unreferenced before a possible exit point.,Optimization,PrematureDeclaration,,,,,,,
Local variable 'symDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'sym' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'symDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'symDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'sym' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'symDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'graduation' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'graduationDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'Teach_ResultDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'graduation' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'graduationDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'paperInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'tea_stu_paperDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'Teach_ResultDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'paperid' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'tea_stu_paperDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'award' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'awardDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'Teach_ResultDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'award' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'awardDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'sym_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'symDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'symList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'sym' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'symDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'gra_code' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'graduationDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'graduationList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'graduation' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'graduationDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'paperid' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'tea_stu_paperDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'tea_stu_paper' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'info' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'tea_stu_paperDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'articleid' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'awardDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'awardList' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'award' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'awardDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
This class has a bunch of public methods and attributes,Code Size,ExcessivePublicCount,,,,,,,
"This class has too many methods, consider refactoring it.",Code Size,TooManyMethods,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'researchInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'researchInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'updateInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'updateInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'file' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'request' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'picName' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'path' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'dirPath' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'uploadFile' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'deleteInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'changeInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'newInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'file' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'request' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'teaInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'picName' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'path' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'dirPath' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'uploadFile' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'type' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'info' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'rank' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'objectMapper' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'rankInfo' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid instantiating new objects inside loops,Optimization,AvoidInstantiatingObjectsInLoops,,,,,,,
Local variable 'info' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'map' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'set' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid variables with short names like it,Naming,ShortVariable,,,,,,,
Local variable 'it' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'key' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid printStackTrace(); use a logger call instead.,Java Logging,AvoidPrintStackTrace,,,,,,,
Avoid printStackTrace(); use a logger call instead.,Java Logging,AvoidPrintStackTrace,,,,,,,
Avoid printStackTrace(); use a logger call instead.,Java Logging,AvoidPrintStackTrace,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaCode' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Local variable 'teacher' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'eduInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'eduInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'eduInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'expInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'expInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Parameter 'expInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
Local variable 'model' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Avoid excessively long variable names like teacherInfoAdminDAO,Naming,LongVariable,,,,,,,
Local variable 'teacherInfoAdminDAO' could be declared final,Optimization,LocalVariableCouldBeFinal,,,,,,,
Parameter 'teaInfo' is not assigned and could be declared final,Optimization,MethodArgumentCouldBeFinal,,,,,,,
